"","Filenames","Input","Raw_Reads","Processed_Reads","Duplication_Percentage","Median_Fragment_Size","ROI_to_30x","ROI_to_40x","ROI_to_200x"
"1","LMH-WB-002C",40,44769,44658,0.744,150,0.996,0.952,0.931
"2","PKLR-CONT-17",100,41257,40338,0.701,150,0.991,0.941,0.907
"3","PKLR-CONT-05",100,58900,58627.5,0.621,150,0.995,0.943,0.924
"4","PKLR-CONT-23",100,87085,86517,0.732,150,1,0.973,0.951
"5","PKLR-CONT-11",100,53499,53229,0.552,150,0.993,0.945,0.921
"6","DBS-RCC-009",10,46491,46396.5,0.51,150,0.993,0.944,0.909
"7","DBS-002-40",40,87292,86746.5,0.657,150,0.998,0.976,0.945
"8","PKLR-CONT-29",100,69180,67823,0.673,149,1,0.96,0.938
"9","001-5",5,60727,60180,0.642,150,0.999,0.962,0.93
"10","DBS-RCC-006",10,28715,26827.5,0.611,145,0.948,0.881,0.744
"11","DBS-RCC-012",10,70977,70258.5,0.606,150,0.999,0.962,0.941
"12","LMH-WB-001B",40,68389,67782,0.616,150,0.99,0.93,0.893
"13","PKLR-CONT-29",100,41353,41235,0.597,150,0.993,0.946,0.926
"14","PKLR-CONT-26",100,73738,73004.5,0.735,149.5,1,0.975,0.949
"15","DBS-JK-001",10,56414,56224,0.613,150,0.999,0.954,0.93
"16","LMH-WB-001D",40,66193,65166,0.631,150,1,0.972,0.945
"17","PKLR-CONT-04",100,47050,47002,0.755,150,1,0.959,0.938
"18","PKLR-CONT-02",100,63390,63076.5,0.134,150,0.939,0.76,0.288
"19","PKLR-CONT-03",100,52948,52563,0.519,150,0.98,0.935,0.9
"20","002-20",20,64711,64312,0.462,150,0.984,0.934,0.908
"21","PKLR-CONT-08",100,28328,28158,0.727,150,0.993,0.936,0.887
"22","PKLR-CONT-03",100,59459,59295,0.687,150,1,0.967,0.943
"23","PKLR-CONT-01",100,78207,77653.5,0.621,150,0.997,0.96,0.938
"24","DBS-001-10",10,76208,75743.5,0.698,150,1,0.969,0.945
"25","PKLR-CONT-18",100,46265,43363,0.468,148,0.964,0.907,0.859
"26","002-80",80,46215,46039.5,0.584,150,0.981,0.933,0.899
"27","DBS-RCC-002",10,49246,49206.5,0.714,150,1,0.973,0.945
"28","PKLR-CONT-06",100,69104,68645.5,0.638,150,0.998,0.967,0.937
"29","PKLR-CONT-15",100,57005,56527.5,0.579,150,0.99,0.941,0.922
"30","001-40",40,42505,42452.5,0.394,150,0.985,0.933,0.889
"31","PKLR-CONT-27",100,39486,39208.5,0.554,150,0.984,0.929,0.884
"32","PKLR-CONT-31",100,54496,54341,0.528,150,0.994,0.946,0.913
"33","LMH-WB-002D",40,59514,58990.5,0.7,150,1,0.966,0.938
"34","PKLR-CONT-09",100,42382,42353,0.61,150,0.992,0.941,0.912
"35","001-80",80,47702,47626,0.606,150,0.996,0.96,0.939
"36","001-20",20,40388,39288,0.613,149,0.977,0.927,0.891
"37","PKLR-CONT-12",100,36435,36397.5,0.545,150.5,0.995,0.946,0.904
"38","PKLR-CONT-13",100,37006,36950.5,0.496,150,0.993,0.939,0.889
"39","0001-02-05",5,24636,19735,0.58,117.5,0.922,0.721,0.18
"40","PKLR-CONT-25",100,57491,57198,0.634,149.5,0.994,0.944,0.915
"41","LMH-WB-001C",40,47673,47603,0.458,150,0.985,0.941,0.906
"42","PKLR-CONT-19",100,51047,50816,0.626,150,0.996,0.945,0.922
"43","PKLR-CONT-39",100,48355,48291.5,0.514,150,0.997,0.946,0.91
"44","DBS-RCC-007",10,59970,59430,0.492,150,0.994,0.94,0.891
"45","PKLR-CONT-05",100,62623,62236.5,0.571,150,0.987,0.943,0.923
"46","DBS-RCC-011",10,72521,69967.5,0.673,150,0.998,0.968,0.936
"47","DBS-001-40",40,44171,43866.5,0.6,150,0.994,0.944,0.911
"48","002-40",40,27393,27344.5,0.666,150,0.997,0.932,0.887
"49","LMH-WB-002B",40,46804,46734,0.701,150,0.991,0.944,0.925
"50","PKLR-CONT-07",100,48731,48221,0.598,150,0.994,0.936,0.908
"51","DBS-RCC-013",10,78338,75341,0.694,150,1,0.967,0.945
"52","PKLR-CONT-24",100,44783,44637,0.596,150,0.981,0.933,0.9
"53","PKLR-CONT-16",100,50505,50444.5,0.615,150,1,0.96,0.937
"54","LMH-WB-002A",40,54716,54613.5,0.751,150,1,0.974,0.945
"55","001-10",10,35108,34271.5,0.682,149,0.98,0.922,0.865
"56","PKLR-CONT-40",100,58458,58401,0.704,150,1,0.958,0.926
"57","DBS-RCC-008",10,84969,84865.5,0.706,150,0.999,0.974,0.939
"58","PKLR-CONT-21",100,45796,45624.5,0.634,150,0.988,0.944,0.913
"59","LMH-WB-001A",40,46367,46251,0.608,150,0.996,0.956,0.924
"60","PKLR-CONT-33",100,72655,72272.5,0.686,150,1,0.966,0.944
"61","PKLR-CONT-26",100,79611,79282.5,0.696,150,1,0.977,0.949
"62","PKLR-CONT-34",100,58006,57836,0.599,150,0.997,0.953,0.931
"63","002-5",5,33343,32514.5,0.671,150,0.984,0.911,0.859
"64","DBS-001-5",5,46891,44509.5,0.519,141,0.965,0.907,0.861
"65","002-10",10,31648,31544.5,0.598,150,0.993,0.908,0.86
"66","PKLR-CONT-28",100,59863,59730,0.699,150,1,0.96,0.943
"67","DBS-RCC-003",10,63348,59264.5,0.603,150,0.995,0.96,0.929
"68","DBS-KP-001",10,72751,71442.5,0.673,150,1,0.959,0.936
"69","PKLR-CONT-01",100,56714,56419,0.556,150,0.989,0.941,0.912
"70","DBS-RCC-001",10,71662,69841.5,0.706,150,1,0.972,0.943
"71","HBB-CONT-006",100,64386,63922,0.703,149,1,0.962,0.933
"72","DBS-001-20",20,27036,26275,0.561,149,0.961,0.901,0.819
"73","PKLR-CONT-32",100,61755,61690.5,0.628,150,1,0.956,0.932
"74","PKLR-CONT-08",100,52089,51976,0.519,150,0.987,0.942,0.912
"75","DBS-CP-001",10,73378,72685,0.647,150,1,0.966,0.941
"76","PKLR-CONT-35",100,70568,70448,0.628,150,1,0.964,0.94
"77","DBS-RCC-010",10,64695,63659.5,0.677,150,0.996,0.95,0.926
"78","PKLR-CONT-06",100,73618,72894,0.715,150,1,0.973,0.947
"79","0002-02-05",5,33678,32896,0.416,150,0.945,0.801,0.319
"80","PKLR-CONT-07",100,61386,60727.5,0.741,150,1,0.964,0.936
"81","HBB-CONT-003",100,58838,58497.5,0.695,149,1,0.959,0.932
"82","PKLR-CONT-02",100,64634,64069.5,0.686,150,1,0.965,0.941
"83","PKLR-CONT-04",100,49636,49394,0.147,150,0.927,0.628,0.149
"84","PKLR-CONT-36",100,59488,59355.5,0.671,150,0.999,0.952,0.931
"85","PKLR-CONT-22",100,45589,45482,0.54,150,0.979,0.938,0.898
"86","PKLR-CONT-30",100,57581,57237,0.663,150,0.998,0.963,0.931
"87","DBS-RCC-005",10,74375,73747,0.658,150,0.999,0.963,0.94
"88","DBS-002-10",10,51455,45391.5,0.705,132.5,0.971,0.913,0.867
"89","PKLR-CONT-37",100,59912,59776.5,0.624,150,1,0.96,0.938
"90","PKLR-CONT-28",100,65465,65316.5,0.758,150,1,0.973,0.944
"91","PKLR-CONT-20",100,44286,44225,0.517,150,0.971,0.919,0.88
"92","0002-01-25",1.25,34596,34012.5,0.595,150,0.957,0.869,0.671
"93","PKLR-CONT-38",100,50537,50433,0.611,150,0.999,0.956,0.928
"94","PKLR-CONT-10",100,42212,42155.5,0.49,150,0.989,0.942,0.9
"95","PKLR-CONT-27",100,76720,76440.5,0.62,150,1,0.966,0.939
"96","PKLR-CONT-14",100,46454,46365,0.519,150,0.994,0.946,0.917
"97","DBS-002-20",20,34748,33584.5,0.681,147,0.975,0.92,0.873
"98","PKLR-CONT-25",100,71148,70785.5,0.713,149,1,0.966,0.939
"99","DBS-RCC-004",10,75840,75302.5,0.69,150,1,0.954,0.934
"100","PKLR-CONT-41",100,62353,59314.5,0.705,147.5,1,0.946,0.917
